'sample interval','V5','MLII'
465,-0.255,0.010
466,-0.235,0.030
467,-0.225,0.005
468,-0.245,-0.010
469,-0.260,-0.005
470,-0.260,-0.015
471,-0.255,0.000
472,-0.240,0.005
473,-0.245,0.000
474,-0.250,-0.020
475,-0.265,-0.020
476,-0.255,-0.010
477,-0.255,0.015
478,-0.245,0.015
479,-0.235,-0.005
480,-0.250,-0.005
481,-0.265,-0.010
482,-0.260,-0.010
483,-0.250,0.010
484,-0.235,0.020
485,-0.230,0.010
486,-0.240,0.000
487,-0.255,-0.010
488,-0.250,0.000
489,-0.240,0.015
490,-0.220,0.015
491,-0.220,0.005
492,-0.240,0.000
493,-0.240,0.000
494,-0.240,0.015
495,-0.240,0.025
496,-0.225,0.020
497,-0.225,0.010
498,-0.235,-0.005
499,-0.235,0.000
500,-0.245,0.010
501,-0.230,0.030
502,-0.220,0.030
503,-0.215,0.020
504,-0.230,0.015
505,-0.240,0.010
506,-0.255,0.010
507,-0.245,0.035
508,-0.220,0.035
509,-0.230,0.030
510,-0.240,0.020
511,-0.255,0.005
512,-0.260,0.015
513,-0.245,0.025
514,-0.240,0.030
515,-0.235,0.020
516,-0.255,0.005
517,-0.265,-0.005
518,-0.270,0.005
519,-0.250,0.010
520,-0.235,0.020
521,-0.240,0.015
522,-0.250,0.000
523,-0.260,-0.010
524,-0.260,-0.005
525,-0.250,0.010
526,-0.240,0.030
527,-0.240,0.000
528,-0.255,0.005
529,-0.265,-0.015
530,-0.270,-0.005
531,-0.265,0.015
532,-0.250,0.030
533,-0.255,0.010
534,-0.280,-0.005
535,-0.290,-0.020
536,-0.280,-0.005
537,-0.280,0.000
538,-0.260,0.015
539,-0.265,0.005
540,-0.275,-0.010
541,-0.285,-0.015
542,-0.285,-0.010
543,-0.265,0.000
544,-0.250,0.015
545,-0.255,-0.005
546,-0.270,-0.020
547,-0.280,-0.030
548,-0.280,-0.005
549,-0.265,0.000
550,-0.245,-0.005
551,-0.260,0.000
552,-0.265,-0.005
553,-0.270,-0.015
554,-0.270,-0.010
555,-0.260,-0.010
556,-0.255,0.005
557,-0.250,-0.005
558,-0.270,-0.010
559,-0.270,-0.010
560,-0.280,-0.005
561,-0.270,-0.005
562,-0.265,-0.005
563,-0.260,-0.010
564,-0.285,-0.025
565,-0.285,-0.020
566,-0.285,-0.020
567,-0.285,-0.010
568,-0.260,-0.005
569,-0.275,-0.005
570,-0.275,-0.020
571,-0.280,-0.030
572,-0.275,-0.015
573,-0.275,-0.010
574,-0.265,0.005
575,-0.250,0.000
576,-0.270,-0.020
577,-0.275,-0.010
578,-0.290,-0.020
579,-0.270,0.000
580,-0.265,0.000
581,-0.265,-0.005
582,-0.270,-0.020
583,-0.295,-0.030
584,-0.295,-0.015
585,-0.285,0.000
586,-0.265,0.000
587,-0.260,-0.005
588,-0.270,-0.010
589,-0.285,-0.025
590,-0.310,-0.025
591,-0.290,-0.015
592,-0.270,-0.005
593,-0.270,-0.005
594,-0.280,-0.025
595,-0.295,-0.030
596,-0.295,-0.010
597,-0.285,0.005
598,-0.275,-0.005
599,-0.270,-0.010
600,-0.280,-0.025
601,-0.285,-0.035
602,-0.300,-0.010
603,-0.270,0.000
604,-0.275,0.000
605,-0.280,-0.005
606,-0.275,-0.025
607,-0.280,-0.030
608,-0.285,-0.025
609,-0.270,-0.010
610,-0.255,0.000
611,-0.255,-0.005
612,-0.265,-0.020
613,-0.270,-0.020
614,-0.290,-0.020
615,-0.260,0.000
616,-0.245,0.000
617,-0.255,-0.005
618,-0.265,-0.025
619,-0.285,-0.030
620,-0.285,-0.020
621,-0.265,-0.005
622,-0.245,0.010
623,-0.255,-0.005
624,-0.270,-0.015
625,-0.275,-0.030
626,-0.285,-0.005
627,-0.270,-0.010
628,-0.255,0.000
629,-0.250,0.000
630,-0.260,-0.015
631,-0.270,-0.020
632,-0.270,0.005
633,-0.260,0.005
634,-0.230,0.000
635,-0.240,0.000
636,-0.245,-0.010
637,-0.245,-0.010
638,-0.240,0.025
639,-0.215,0.025
640,-0.195,0.040
641,-0.200,0.040
642,-0.210,0.020
643,-0.210,0.015
644,-0.205,0.030
645,-0.195,0.045
646,-0.180,0.050
647,-0.175,0.060
648,-0.175,0.045
649,-0.190,0.030
650,-0.200,0.050
651,-0.195,0.055
652,-0.185,0.070
653,-0.185,0.045
654,-0.215,0.015
655,-0.220,0.000
656,-0.235,0.025
657,-0.230,0.025
658,-0.220,0.025
659,-0.225,0.040
660,-0.240,0.030
661,-0.245,0.020
662,-0.235,0.030
663,-0.245,0.050
664,-0.210,0.055
665,-0.220,0.055
666,-0.230,0.030
667,-0.240,0.025
668,-0.235,0.040
669,-0.225,0.045
670,-0.210,0.035
671,-0.210,0.010
672,-0.225,-0.015
673,-0.245,-0.010
674,-0.280,-0.005
675,-0.270,0.010
676,-0.260,0.010
677,-0.275,0.000
678,-0.280,-0.005
679,-0.285,-0.010
680,-0.280,0.005
681,-0.265,0.010
682,-0.260,0.000
683,-0.255,0.000
684,-0.280,-0.015
685,-0.275,-0.025
686,-0.280,-0.015
687,-0.265,0.000
688,-0.255,0.000
689,-0.260,-0.015
690,-0.275,-0.010
691,-0.280,-0.010
692,-0.280,-0.005
693,-0.270,0.000
694,-0.250,0.010
695,-0.255,-0.010
696,-0.270,-0.025
697,-0.285,-0.020
698,-0.285,-0.010
699,-0.270,0.010
700,-0.250,0.005
701,-0.250,0.000
702,-0.265,0.000
703,-0.270,-0.015
704,-0.275,-0.015
705,-0.260,0.015
706,-0.255,0.025
707,-0.245,0.020
708,-0.245,0.015
709,-0.245,0.035
710,-0.240,0.080
711,-0.225,0.125
712,-0.200,0.155
713,-0.180,0.210
714,-0.170,0.240
715,-0.150,0.300
716,-0.140,0.385
717,-0.165,0.490
718,-0.215,0.625
719,-0.250,0.765
720,-0.305,0.895
721,-0.355,1.035
722,-0.405,1.200
723,-0.460,1.350
724,-0.505,1.515
725,-0.505,1.685
726,-0.460,1.865
727,-0.405,2.015
728,-0.295,2.030
729,-0.150,1.915
730,-0.025,1.625
731,0.025,1.150
732,-0.035,0.695
733,-0.205,0.335
734,-0.430,0.110
735,-0.600,0.005
736,-0.670,-0.045
737,-0.675,-0.065
738,-0.630,-0.070
739,-0.585,-0.045
740,-0.500,-0.030
741,-0.365,-0.015
742,-0.275,-0.015
743,-0.260,-0.030
744,-0.250,-0.065
745,-0.250,-0.080
746,-0.240,-0.085
747,-0.230,-0.090
748,-0.205,-0.090
749,-0.210,-0.090
750,-0.210,-0.110
751,-0.230,-0.120
752,-0.215,-0.100
753,-0.195,-0.110
754,-0.180,-0.100
755,-0.180,-0.115
756,-0.175,-0.115
757,-0.185,-0.120
758,-0.185,-0.110
759,-0.165,-0.095
760,-0.155,-0.105
761,-0.155,-0.115
762,-0.165,-0.135
763,-0.170,-0.135
764,-0.170,-0.125
765,-0.155,-0.110
766,-0.155,-0.115
767,-0.130,-0.120
768,-0.155,-0.125
769,-0.165,-0.135
770,-0.170,-0.140
771,-0.150,-0.120
772,-0.130,-0.125
773,-0.140,-0.140
774,-0.150,-0.150
775,-0.165,-0.160
776,-0.165,-0.145
777,-0.155,-0.130
778,-0.140,-0.135
779,-0.140,-0.140
780,-0.145,-0.170
781,-0.150,-0.165
782,-0.155,-0.160
783,-0.140,-0.150
784,-0.120,-0.140
785,-0.130,-0.150
786,-0.135,-0.165
787,-0.135,-0.165
788,-0.155,-0.160
789,-0.140,-0.150
790,-0.110,-0.150
791,-0.130,-0.155
792,-0.135,-0.165
793,-0.125,-0.160
794,-0.125,-0.150
795,-0.115,-0.140
796,-0.100,-0.140
797,-0.105,-0.150
798,-0.105,-0.165
799,-0.120,-0.170
800,-0.115,-0.155
801,-0.115,-0.130
802,-0.095,-0.120
803,-0.080,-0.135
804,-0.110,-0.145
805,-0.105,-0.155
806,-0.110,-0.140
807,-0.090,-0.120
808,-0.070,-0.130
809,-0.065,-0.135
810,-0.075,-0.140
811,-0.080,-0.135
812,-0.085,-0.130
813,-0.055,-0.105
814,-0.045,-0.105
815,-0.040,-0.105
816,-0.040,-0.110
817,-0.040,-0.110
818,-0.050,-0.105
819,-0.020,-0.070
820,-0.005,-0.060
821,0.000,-0.060
822,-0.005,-0.065
823,-0.015,-0.050
824,-0.010,-0.030
825,0.000,0.000
826,0.025,0.010
827,0.025,0.015
828,0.020,0.010
829,0.010,0.020
830,0.010,0.050
831,0.030,0.065
832,0.050,0.085
833,0.040,0.100
834,0.030,0.100
835,0.025,0.115
836,0.040,0.135
837,0.060,0.165
838,0.080,0.170
839,0.070,0.185
840,0.055,0.180
841,0.035,0.175
842,0.050,0.200
843,0.045,0.200
844,0.045,0.220
845,0.035,0.210
846,0.020,0.195
847,-0.005,0.180
848,-0.015,0.180
849,-0.005,0.185
850,-0.005,0.165
851,-0.020,0.150
852,-0.035,0.135
853,-0.065,0.105
854,-0.085,0.110
855,-0.080,0.115
856,-0.070,0.095
857,-0.095,0.085
858,-0.110,0.060
859,-0.140,0.050
860,-0.135,0.040
861,-0.130,0.055
862,-0.125,0.055
863,-0.140,0.045
864,-0.150,0.030
865,-0.150,0.015
866,-0.155,0.030
867,-0.145,0.035
868,-0.150,0.030
869,-0.145,0.025
870,-0.175,0.005
871,-0.170,0.010
872,-0.175,0.015
873,-0.155,0.025
874,-0.150,0.015
875,-0.160,0.005
876,-0.165,-0.005
877,-0.175,-0.005
878,-0.185,0.000
879,-0.180,0.015
880,-0.170,0.015
881,-0.160,0.015
882,-0.185,-0.010
883,-0.190,-0.015
884,-0.200,-0.010
885,-0.200,-0.015
886,-0.175,0.000
887,-0.185,-0.010
888,-0.195,-0.020
889,-0.200,-0.015
890,-0.200,-0.020
891,-0.175,0.005
892,-0.170,-0.005
893,-0.195,-0.015
894,-0.185,-0.040
895,-0.190,-0.030
896,-0.195,-0.025
897,-0.195,-0.010
898,-0.170,-0.010
899,-0.175,-0.025
900,-0.180,-0.035
901,-0.190,-0.030
902,-0.195,-0.035
903,-0.195,-0.020
904,-0.190,-0.020
905,-0.185,-0.025
906,-0.195,-0.040
907,-0.215,-0.055
908,-0.215,-0.035
909,-0.205,-0.015
910,-0.190,-0.030
911,-0.205,-0.035
912,-0.215,-0.055
913,-0.220,-0.040
914,-0.215,-0.030
915,-0.205,-0.020
916,-0.185,-0.010
917,-0.190,-0.015
918,-0.195,-0.030
919,-0.200,-0.035
920,-0.215,-0.030
921,-0.205,-0.020
922,-0.190,-0.005
923,-0.185,-0.020
924,-0.195,-0.040
925,-0.200,-0.030
926,-0.210,-0.025
927,-0.190,0.000
928,-0.170,-0.010
929,-0.180,-0.015
930,-0.200,-0.025
931,-0.200,-0.025
932,-0.210,-0.010
933,-0.215,-0.005
934,-0.185,0.000
935,-0.195,-0.005
936,-0.200,-0.025
937,-0.225,-0.020
938,-0.225,-0.010
939,-0.215,-0.010
940,-0.205,-0.005
941,-0.210,0.000
942,-0.230,-0.015
943,-0.235,-0.025
944,-0.230,-0.015
945,-0.210,0.000
946,-0.205,-0.010
947,-0.210,-0.015
948,-0.230,-0.020
949,-0.240,-0.025
950,-0.235,-0.015
951,-0.220,0.000
952,-0.205,0.000
953,-0.215,-0.020
954,-0.220,-0.030
955,-0.230,-0.035
956,-0.245,-0.020
957,-0.225,-0.010
958,-0.225,-0.005
959,-0.230,-0.010
960,-0.235,-0.040
961,-0.245,-0.040
962,-0.255,-0.040
963,-0.255,-0.025
964,-0.245,-0.015
965,-0.250,-0.025
966,-0.255,-0.040
967,-0.270,-0.035
968,-0.265,-0.025
969,-0.255,-0.015
970,-0.235,-0.025
971,-0.245,-0.030
972,-0.250,-0.050
973,-0.265,-0.045
974,-0.260,-0.035
975,-0.250,-0.025
976,-0.250,-0.030
977,-0.260,-0.020
978,-0.270,-0.055
979,-0.270,-0.055
980,-0.275,-0.040
981,-0.255,-0.030
982,-0.245,-0.035
983,-0.255,-0.050
984,-0.265,-0.040
985,-0.290,-0.050
986,-0.280,-0.035
987,-0.270,-0.015
988,-0.260,-0.025
989,-0.270,-0.035
990,-0.280,-0.050
991,-0.285,-0.045
992,-0.295,-0.040
993,-0.270,-0.015
994,-0.255,-0.020
995,-0.270,-0.025
996,-0.275,-0.040
997,-0.290,-0.055
998,-0.280,-0.040
999,-0.245,-0.040
1000,-0.270,-0.040
1001,-0.285,-0.045
1002,-0.280,-0.050
1003,-0.290,-0.040
1004,-0.265,-0.025
1005,-0.255,-0.030
1006,-0.260,-0.025
1007,-0.275,-0.040
1008,-0.290,-0.040
1009,-0.275,-0.040
1010,-0.280,-0.010
1011,-0.275,-0.015
1012,-0.265,-0.030
1013,-0.275,-0.045
1014,-0.290,-0.040
1015,-0.290,-0.030
1016,-0.290,-0.020
1017,-0.270,-0.025
1018,-0.265,-0.030
1019,-0.290,-0.035
1020,-0.295,-0.045
1021,-0.290,-0.025
1022,-0.280,-0.005
1023,-0.260,-0.010
1024,-0.265,-0.025
1025,-0.275,-0.035
1026,-0.300,-0.030
1027,-0.290,-0.030
1028,-0.270,-0.020
1029,-0.270,-0.015
1030,-0.275,-0.035
1031,-0.280,-0.040
1032,-0.285,-0.040
1033,-0.305,-0.025
1034,-0.270,-0.005
1035,-0.250,-0.015
1036,-0.265,-0.020
1037,-0.280,-0.040
1038,-0.295,-0.050
1039,-0.290,-0.040
1040,-0.285,-0.015
1041,-0.270,-0.010
1042,-0.260,-0.020
1043,-0.280,-0.025
1044,-0.295,-0.045
1045,-0.290,-0.030
1046,-0.280,-0.010
1047,-0.250,0.000
1048,-0.265,-0.015
1049,-0.270,-0.030
1050,-0.280,-0.020
1051,-0.280,-0.015
1052,-0.250,-0.005
1053,-0.235,-0.005
1054,-0.250,0.000
1055,-0.255,-0.010
1056,-0.250,-0.005
1057,-0.240,0.015
1058,-0.220,0.020
1059,-0.200,0.025
1060,-0.235,0.030
1061,-0.225,0.010
1062,-0.245,0.005
1063,-0.235,0.030
1064,-0.215,0.040
1065,-0.195,0.045
1066,-0.190,0.040
1067,-0.200,0.035
1068,-0.225,0.030
1069,-0.225,0.035
1070,-0.230,0.045
1071,-0.215,0.035
1072,-0.235,0.015
1073,-0.240,0.015
1074,-0.255,0.005
1075,-0.265,0.020
1076,-0.250,0.035
1077,-0.245,0.040
1078,-0.230,0.015
1079,-0.240,0.020
1080,-0.255,0.015
1081,-0.240,0.040
1082,-0.245,0.050
1083,-0.220,0.040
1084,-0.225,0.040
1085,-0.225,0.025
1086,-0.230,0.005
1087,-0.235,0.000
1088,-0.235,0.005
1089,-0.245,0.005
1090,-0.270,-0.020
1091,-0.285,-0.020
1092,-0.305,-0.020
1093,-0.305,-0.015
1094,-0.280,0.000
1095,-0.270,-0.005
1096,-0.280,-0.005
1097,-0.280,-0.015
1098,-0.295,-0.030
1099,-0.290,-0.015
1100,-0.280,0.000
1101,-0.270,0.000
1102,-0.285,-0.010
1103,-0.290,-0.025
1104,-0.290,-0.030
1105,-0.285,-0.015
1106,-0.285,-0.005
1107,-0.270,-0.005
1108,-0.260,-0.005
1109,-0.270,-0.020
1110,-0.290,-0.015
1111,-0.290,-0.015
1112,-0.280,-0.010
1113,-0.260,0.005
1114,-0.270,-0.025
1115,-0.280,-0.025
1116,-0.295,-0.030
1117,-0.285,-0.015
1118,-0.280,0.000
1119,-0.260,-0.005
1120,-0.285,-0.005
1121,-0.280,-0.025
1122,-0.280,-0.020
1123,-0.275,-0.015
1124,-0.260,0.025
1125,-0.245,0.030
1126,-0.250,0.040
1127,-0.255,0.050
1128,-0.245,0.075
1129,-0.230,0.120
1130,-0.200,0.190
1131,-0.170,0.230
1132,-0.140,0.275
1133,-0.150,0.310
1134,-0.165,0.380
1135,-0.235,0.515
1136,-0.290,0.675
1137,-0.310,0.815
1138,-0.365,0.950
1139,-0.425,1.075
1140,-0.525,1.205
1141,-0.590,1.365
1142,-0.595,1.560
1143,-0.545,1.775
1144,-0.445,1.925
1145,-0.335,1.940
1146,-0.215,1.825
1147,-0.095,1.545
1148,-0.025,1.155
1149,-0.035,0.730
1150,-0.170,0.375
1151,-0.375,0.130
1152,-0.590,0.000
1153,-0.680,-0.050
1154,-0.685,-0.060
1155,-0.645,-0.050
1156,-0.600,-0.035
1157,-0.535,-0.045
1158,-0.445,-0.050
1159,-0.360,-0.045
1160,-0.300,-0.045
1161,-0.270,-0.025
1162,-0.270,-0.055
1163,-0.270,-0.075
1164,-0.265,-0.090
1165,-0.260,-0.105
1166,-0.245,-0.085
1167,-0.235,-0.090
1168,-0.235,-0.110
1169,-0.250,-0.110
1170,-0.245,-0.115
1171,-0.230,-0.110
1172,-0.240,-0.085
1173,-0.200,-0.085
1174,-0.200,-0.120
1175,-0.215,-0.120
1176,-0.215,-0.130
1177,-0.230,-0.110
1178,-0.195,-0.110
1179,-0.190,-0.100
1180,-0.180,-0.110
1181,-0.200,-0.125
1182,-0.215,-0.125
1183,-0.195,-0.120
1184,-0.185,-0.120
1185,-0.175,-0.120
1186,-0.165,-0.110
1187,-0.185,-0.130
1188,-0.205,-0.145
1189,-0.185,-0.130
1190,-0.180,-0.120
1191,-0.170,-0.115
